pattern_grammar,role,source_channel,source_index,video_title,url,duration_hms,fit_status,score,reason
Academy Micro-Lesson,primary,HeyGen sample,,HeyGen Academy: 101 - Custom Photo Avatar (Part 9),,,,,
Academy Micro-Lesson,primary,HeyGen sample,,HeyGen Academy: 101 - Custom Voice (Part 12),,,,,
Academy Micro-Lesson,primary,HeyGen sample,,HeyGen Academy: 101 - Generate Avatar (Part 10),,,,,
Academy Micro-Lesson,primary,HeyGen sample,,HeyGen Academy: 101 - Generate Looks (Part 11),,,,,
Academy Micro-Lesson,primary,HeyGen sample,,HeyGen Academy: 101 - Generating and Sharing your video (Part 7),,,,,
Academy Micro-Lesson,primary,HeyGen sample,,HeyGen Academy: 101 - Gesture Control (Part 14),,,,,
Academy Micro-Lesson,primary,HeyGen sample,,HeyGen Academy: 101 - Hyper Realistic Avatar (Part 8),,,,,
Academy Micro-Lesson,primary,HeyGen sample,,HeyGen Academy: 101 - Translation & Brand Glossary (Part 13),,,,,
Academy Micro-Lesson,primary,HeyGen sample,,HeyGen Academy: AI Studio - Perfecting your AI Video Scripts & Pronunciation (Part 2),,,,,
Academy Micro-Lesson,primary,HeyGen sample,,HeyGen Workshop: Prompting Best Practices,,,,,
Academy Micro-Lesson,primary,HeyGen sample,,How to create an Avatar: Best Practices on HeyGen,,,,,
Academy Micro-Lesson,secondary,HeyGen sample,,HeyGen 101,,,,,
Academy Micro-Lesson,secondary,HeyGen sample,,HeyGen 101,,,,,
Academy Micro-Lesson,secondary,HeyGen sample,,HeyGen 101 Live Workshop,,,,,
Academy Micro-Lesson,secondary,HeyGen sample,,HeyGen 101 Live Workshop,,,,,
Academy Micro-Lesson,secondary,HeyGen sample,,How to auto translate videos into ANY language with AI (Full HeyGen Tutorial),,,,,
Academy Micro-Lesson,secondary,HeyGen sample,,New Feature Launch: Generate Looks - Customize Avatars to Elevate Your Storytelling,,,,,
AI Data Workflow Tutorial,primary,Lillian Chiu,2,"office politics in big tech, building my own app as a Biz Analyst (vibe coding)| Biz Analyst Diary",https://www.youtube.com/watch?v=WKmc6yAnvXI,9:36,strong_heygen_fit,5,Strong hybrid/title-level fit to existing HeyGen grammar.
AI Data Workflow Tutorial,primary,Lillian Chiu,5,ChatGPT for Data Analysis | Build Charts in 5 Minutes vs. 5 Hours,https://www.youtube.com/watch?v=in3BS4St3h0,8:56,strong_heygen_fit,5,Strong hybrid/title-level fit to existing HeyGen grammar.
AI Data Workflow Tutorial,primary,Lillian Chiu,7,"Build Your First AI Agent (4 Steps, No Code) 🤖 | Moving Back to NYC 🗽",https://www.youtube.com/watch?v=FCllyYfv0iQ,11:28,strong_heygen_fit,5,Strong hybrid/title-level fit to existing HeyGen grammar.
AI Data Workflow Tutorial,primary,Lillian Chiu,8,"These 5 AI Agents run my daily life🤯❗, AI Agent simply explained, why I'm in Vietnam...",https://www.youtube.com/watch?v=KN1SVBkEYs4,12:47,strong_heygen_fit,5,Strong hybrid/title-level fit to existing HeyGen grammar.
AI Data Workflow Tutorial,primary,Lillian Chiu,9,"Data Analysis with ChatGPT (in 4 steps), AI replacing analysts?🧐, my new life in Vietnam🤍",https://www.youtube.com/watch?v=uKNQTgCXdRM,10:59,strong_heygen_fit,5,Strong hybrid/title-level fit to existing HeyGen grammar.
AI Data Workflow Tutorial,primary,Lillian Chiu,10,"daily life in tech👩🏻‍💻| building AI workflows🤖, NotebookLM for biz analysis, surgery updates🥹",https://www.youtube.com/watch?v=qgoO3vg31VE,8:20,strong_heygen_fit,5,Strong hybrid/title-level fit to existing HeyGen grammar.
AI Data Workflow Tutorial,primary,Lillian Chiu,22,day in the life of a Business Analyst in tech| how I visualize data (in 3 steps),https://www.youtube.com/watch?v=SN8ZHFp_plw,13:58,strong_heygen_fit,5,Strong hybrid/title-level fit to existing HeyGen grammar.
AI Data Workflow Tutorial,primary,Lillian Chiu,61,I gave AI my analyst job (it actually worked) @meta @Manus-AI,https://www.youtube.com/shorts/vfNa-LLs3mA,,strong_heygen_fit,5,Strong hybrid/title-level fit to existing HeyGen grammar.
AI Data Workflow Tutorial,primary,Lillian Chiu,62,ChatGPT + Gemini = Visualize Data in 30 seconds,https://www.youtube.com/shorts/A8Os9Fgyuaw,,partial_heygen_fit,5,HeyGen grammar captures a surface signal but misses the channel-specific viewer job. Proposed primary: AI Data Workflow Tutorial.
AI Data Workflow Tutorial,primary,Lillian Chiu,63,This ChatGPT Prompt SAVED my Data Analysis,https://www.youtube.com/shorts/guV2oV04q_I,,strong_heygen_fit,5,Strong hybrid/title-level fit to existing HeyGen grammar.
AI Data Workflow Tutorial,primary,Lillian Chiu,64,using AI to analyze data ?! 🤯 #data #ai Try Quadratic AI for free! https://www.quadratic.ai/lillian,https://www.youtube.com/shorts/9i0qQyVubl4,,partial_heygen_fit,5,HeyGen grammar captures a surface signal but misses the channel-specific viewer job. Proposed primary: AI Data Workflow Tutorial.
AI Data Workflow Tutorial,primary,Lillian Chiu,85,How this Al tool can build your career,https://www.youtube.com/shorts/m36krv97vPs,,strong_heygen_fit,5,Strong hybrid/title-level fit to existing HeyGen grammar.
Behind-The-Build / Roadmap Narrative,primary,HeyGen sample,,"Avatar IV, Pixar Avatars, & Digital Twins?! | HeyGen's Questions of the Week",,,,,
Behind-The-Build / Roadmap Narrative,primary,HeyGen sample,,HeyGen's AI Studio | Inside the Build Ep. 1,,,,,
Bilingual Career Advice,primary,Lillian Chiu,27,籌備10個月..我的商業分析課程上架啦! 【 人人受用的數據思維｜商業分析師的養成之路 】,https://www.youtube.com/watch?v=82zkM8nQzVg,2:32,no_heygen_fit,3,No strong product/SaaS grammar signal from HeyGen library. Proposed primary: Bilingual Career Advice.
Bilingual Career Advice,secondary,Lillian Chiu,18,想在職場脫穎而出？5步驟教你解鎖潛能！(ft. Spotify 產品經理）,https://www.youtube.com/watch?v=SzDTbQah3o8,2:31,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the channel-specific viewer job. Proposed primary: Business Analyst / Tech Career Diary.
Book Lessons / Reading Canon,primary,Ali Abdaal,10,How to Read More Books,https://www.youtube.com/watch?v=f5_mihqjOGw,13:57,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,27,I've Read 417 books. These 4 will make you financially free,https://www.youtube.com/watch?v=-VUlGyMpSI8,20:49,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,68,This Book Changed How I Think about Time,https://www.youtube.com/watch?v=eJgcxYMhdoU,24:36:00,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,75,19 Books to Transform Your 2026,https://www.youtube.com/watch?v=3KLE_xwbGqg,22:13,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,92,The Book that Made Me a Millionaire,https://www.youtube.com/watch?v=aU-8BbPRqbo,21:50,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,98,Reading Mean Online Comments About Me,https://www.youtube.com/watch?v=U60rqe2KC1E,24:15:00,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,99,5 Life Changing Lessons from My Favorite Book,https://www.youtube.com/watch?v=WV1OVR2hQFw,13:21,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,150,4 Books That Changed My Life,https://www.youtube.com/watch?v=AvKGYyowFK4,23:55,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
