source_channel,source_index,video_title,primary_pattern_grammar,secondary_pattern_grammars,url,duration_hms,fit_status,score,reason
Ali Abdaal,1,"if you’re applying for jobs, watch this",Wealth / Career Strategy Essay,Minimalist Curiosity Hook,https://www.youtube.com/watch?v=Z9iksIAXcbk,15:24,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,2,"If You Want to Make Money From YouTube, Do This (Case Study)",Creator Business Playbook,Wealth / Career Strategy Essay; Study / Exam Success Playbook,https://www.youtube.com/watch?v=LLjpnubsOWc,1:28:34,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,3,What's the Point?,Reflective Life Essay,Minimalist Curiosity Hook,https://www.youtube.com/watch?v=dW6pvUx4_jc,4:17,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Reflective Life Essay.
Ali Abdaal,4,you only need a phone,Minimalist Curiosity Hook,,https://www.youtube.com/watch?v=6tmBB5GcOLU,24:28,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Minimalist Curiosity Hook.
Ali Abdaal,5,The Simplest Way to Make $10k/month - Case Study,Wealth / Career Strategy Essay,Study / Exam Success Playbook,https://www.youtube.com/watch?v=CFBEih785-I,55:49,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,6,7 Obsessive Habits That Turned Me Into a Multi-Millionaire,Evidence-Based Self-Improvement Essay,Wealth / Career Strategy Essay,https://www.youtube.com/watch?v=9rRvmcDpWwA,17:44,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,7,The Only Investing Video You’ll Ever Need (Start With $0),Wealth / Career Strategy Essay,Interview / Conversation,https://www.youtube.com/watch?v=bfENsVP77VQ,29:31,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,8,The Ultimate Beginner's Guide to Claude Code,Skill Masterclass / Deep Tutorial,,https://www.youtube.com/watch?v=qLMYOhaKcZs,1:06:47,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Skill Masterclass / Deep Tutorial.
Ali Abdaal,9,"If I Wanted to Make My First $100K in 12 months, I’d Do This",Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=XIhc7_Ptrpk,34:57,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,10,How to Read More Books,Book Lessons / Reading Canon,,https://www.youtube.com/watch?v=f5_mihqjOGw,13:57,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,11,How I'd Create Content in 2026 (If I Had To Start Over),Creator Business Playbook,,https://www.youtube.com/watch?v=A8PxRHQrLJ8,15:56,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,12,The psychology of making money,Evidence-Based Self-Improvement Essay,Wealth / Career Strategy Essay,https://www.youtube.com/watch?v=U-frK0b7msY,21:40,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,13,"If I Started YouTube from Scratch in 2026, I’d do THIS",Creator Business Playbook,,https://www.youtube.com/watch?v=rdT3XBZlnHA,33:41,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,14,Brutally Honest Truth On How To Get Rich,Wealth / Career Strategy Essay,Reflective Life Essay,https://www.youtube.com/watch?v=t8QyLh_NBTk,17:26,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,15,"If I Started A Business in 2026, I'd Do This",Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=TX1Ij51esI0,24:49,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,16,Success Is Hard Until You Build Systems Like This,Personal Operating System / Productivity Framework,,https://www.youtube.com/watch?v=MBPHU7aaklM,25:56,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Personal Operating System / Productivity Framework.
Ali Abdaal,17,You’re Not Behind (Yet): How to Learn AI in 19 Minutes,Study / Exam Success Playbook,,https://www.youtube.com/watch?v=j0YENi6U0tE,19:56,strong_heygen_fit,3,Strong enough title-level fit to existing HeyGen grammar.
Ali Abdaal,18,17 Micro-Habits to Improve Your Focus,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=7EWYjFqgmHM,10:16,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,19,The mindset slowly destroying your life,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=Eu29v5jPVMU,20:35,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,20,22 ONE-MINUTE Habits That Save Me 25+ Hours a Week,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=_K9ECAYrU2Q,15:23,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,21,"If you’re ambitious but lazy, watch this",Evidence-Based Self-Improvement Essay,Reflective Life Essay; Minimalist Curiosity Hook,https://www.youtube.com/watch?v=CykYoS1LftQ,23:37,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,22,The Ultimate Guide to Discipline,Skill Masterclass / Deep Tutorial,Evidence-Based Self-Improvement Essay,https://www.youtube.com/watch?v=YK_1dIqqYbo,21:14,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Skill Masterclass / Deep Tutorial.
Ali Abdaal,23,How to Get Rich on Easy Mode,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=5PKYfRofUdg,20:21,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,24,Make 2026 the Best Year of Your Life (Evidence-Based),Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=D_KSR3S6W8I,21:42,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,25,How to change your life by journaling in 2026,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=nzZq7qtYHVM,23:07,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,26,The Easiest Business to Start in 2026 for Beginners,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=0XmnJsSX9s0,20:16,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,27,I've Read 417 books. These 4 will make you financially free,Book Lessons / Reading Canon,Wealth / Career Strategy Essay,https://www.youtube.com/watch?v=-VUlGyMpSI8,20:49,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
